label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10
3	734 m/(s^2)	2.4736	games and playable media	Bakersfield, Fresno	-653	1398	-104	-0.0734 m	16	applied mathematics	1671 m/(s^2)
0	936 m/(s^2)	-0.1028	Applied Mathematics	Chula Vista	-786	1380	233	0.1014 m	6	gAMES AND pLAYABLE mEDIA	1934 m/(s^2)
2	1007 m/(s^2)	0.0471	Computer Engineering	San Jose	1391	286	1985	1.4129 m	-921	Electrical Engineering	1133 m/(s^2)
7	318 m/(s^2)	0.1071	Bioinformatics	Moreno Valley	869	1034	-772	1.2128 m	1079	Computer Science	1034 m/(s^2)
3	636 m/(s^2)	0.6943	Electrical Engineering	Bakersfield, Fresno	1574	2703	251	0.5959 m	1330	applied mathematics	627 m/(s^2)
8	484 m/(s^2)	-0.0072	Natural Language Processing	Santa Ana	472	2964	-377	-0.1023 m	1000	Computer Game Design	323 m/(s^2)
0	1249 m/(s^2)	0.1726	Applied Mathematics	Chula Vista	-380	672	408	0.994 m	-299	Computer Engineering	698 m/(s^2)
5	-197 m/(s^2)	1.9267	Technology and Information Management	SANTA ANA	-365	237	-928	0.8056 m	-156	Computational Media	865 m/(s^2)
2	-620 m/(s^2)	0.8984	Computer Engineering	Oakland, San Jose	1563	-1247	2195	2.0735 m	1297	Robotics Engineering	1350 m/(s^2)
4	1175 m/(s^2)	-0.1523	Computer Engineering	Fremont	1634	-210	1954	0.2505 m	762	Computer Science	2038 m/(s^2)
4	499 m/(s^2)	0.3797	Statistics	Long Beach	-1521	166	-1114	1.8098 m	869	Computer Science	65 m/(s^2)
1	2044 m/(s^2)	2.1644	Robotics Engineering	Los Angeles	1786	76	158	2.5194 m	760	Natural Language Processing	779 m/(s^2)
1	1558 m/(s^2)	1.4394	Computer Game Design	Irvine	1233	1846	173	0.5349 m	1748	Natural Language Processing	-1653 m/(s^2)
8	168 m/(s^2)	-1.0188	Games and Playable Media	San Francisco	-1041	1844	746	1.4519 m	810	Computer Science	638 m/(s^2)
7	-220 m/(s^2)	-0.0528	Bioengineering	Modesto	380	694	-22	1.327 m	-180	Computer Engineering	822 m/(s^2)
8	624 m/(s^2)	-0.5842	Games and Playable Media	Anaheim	679	1517	90	0.3115 m	618	Games and Playable Media	1824 m/(s^2)
4	1824 m/(s^2)	-1.4918	Biotechnology	Long Beach	1297	659	-429	-0.9488 m	8	Computer Science	1161 m/(s^2)
5	1755 m/(s^2)	-0.6107	Computational Media	Santa Ana	1242	1865	1134	0.9034 m	974	Computational Media	2471 m/(s^2)
3	-148 m/(s^2)	0.7476	Electrical Engineering	Fresno	-101	-1	515	1.1876 m	389	Applied Mathematics	243 m/(s^2)
8	2 m/(s^2)	0.3723	Applied Mathematics	San Francisco	277	669	1334	1.5379 m	-85	Computer Game Design	225 m/(s^2)
6	932 m/(s^2)	0.2303	Computer Science	Stockton	696	1163	-205	0.5161 m	-114	Bioinformatics	-232 m/(s^2)
